"word"	"tag"	"level_freq@a1"	"level_freq@a2"	"level_freq@b1"	"level_freq@b2"	"level_freq@c1"	"total_freq@total"	"nb_doc@a1"	"nb_doc@a2"	"nb_doc@b1"	"nb_doc@b2"	"nb_doc@c1"	"nb_doc@total"
"a"	"SP"	"27265.9811"	"28935.5703"	"28109.9746"	"25906.3358"	"26041.2159"	"27471.6884"	"206.0"	"461.0"	"600.0"	"415.0"	"284.0"	"1966.0"
"a"	"NCF"	"35.632"	"27.6289"	"98.7139"	"1.826"	"257.6346"	"70.8838"	"2.0"	"4.0"	"8.0"	"1.0"	"5.0"	"20.0"
"a_el_aire_libre"	"RG"	"0.0"	"0.0"	"0.9081"	"0.0"	"0.0"	"0.0891"	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"1.0"
"a_el_borde_de"	"SP"	"0.0"	"2.9415"	"0.0"	"0.0"	"0.0"	"0.4501"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"
"a_la_moda"	"RG"	"0.0"	"0.0"	"0.0"	"2.6116"	"0.0"	"0.105"	"0.0"	"0.0"	"0.0"	"1.0"	"0.0"	"1.0"
"a_media_luz"	"RG"	"0.0"	"0.0"	"2.2836"	"0.0"	"0.0"	"0.4501"	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"1.0"
"a_medida_que"	"SP"	"0.0"	"0.8601"	"4.7346"	"27.5268"	"26.3283"	"10.7955"	"0.0"	"1.0"	"2.0"	"4.0"	"2.0"	"9.0"
"a_menos_que"	"SP"	"0.0"	"0.0"	"0.0"	"0.0"	"9.4714"	"0.2341"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"1.0"
"a_muerte"	"RG"	"0.0"	"0.0"	"0.7751"	"0.0"	"0.0"	"0.076"	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"1.0"
"a_partir_de"	"SP"	"0.0"	"0.0"	"0.0"	"3.4456"	"0.0"	"0.1385"	"0.0"	"0.0"	"0.0"	"1.0"	"0.0"	"1.0"
"a_propósito_de"	"SP"	"0.0"	"2.9415"	"0.0"	"0.0"	"0.0"	"0.4501"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"
"a_través_de"	"DA"	"4.954"	"0.0"	"0.0"	"1.826"	"8.5078"	"1.8269"	"1.0"	"0.0"	"0.0"	"1.0"	"1.0"	"3.0"
"aaaahhhhh"	"I"	"0.0"	"0.0"	"1.2931"	"0.0"	"0.0"	"0.1268"	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"1.0"
"abad"	"NCM"	"0.0"	"0.0"	"1.4449"	"0.0"	"0.0"	"0.1417"	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"1.0"
"abadía"	"NCF"	"0.0"	"0.0"	"1.2931"	"0.0"	"0.0"	"0.1268"	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"1.0"
"abajo"	"RG"	"44.5415"	"44.1927"	"76.2101"	"78.357"	"122.2256"	"72.1413"	"3.0"	"7.0"	"13.0"	"10.0"	"9.0"	"42.0"
"abandonar"	"VM"	"43.6183"	"67.0922"	"97.5104"	"155.731"	"197.5843"	"99.7315"	"3.0"	"14.0"	"23.0"	"17.0"	"14.0"	"71.0"
"abandono"	"NCM"	"0.0"	"0.0"	"0.0"	"3.4744"	"26.3283"	"2.2557"	"0.0"	"0.0"	"0.0"	"1.0"	"2.0"	"3.0"
"abanicar"	"VM"	"0.0"	"0.0"	"0.0"	"10.3369"	"0.0"	"0.4156"	"0.0"	"0.0"	"0.0"	"2.0"	"0.0"	"2.0"
"abanico"	"NCM"	"0.0"	"0.8601"	"1.2931"	"22.4166"	"38.8023"	"9.2261"	"0.0"	"1.0"	"1.0"	"2.0"	"3.0"	"7.0"
"abaratar"	"VM"	"0.0"	"0.0"	"0.0"	"0.0"	"8.5078"	"0.2103"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"1.0"
"abarcar"	"VM"	"4.8253"	"1.4122"	"0.0"	"0.0"	"8.5078"	"1.808"	"1.0"	"1.0"	"0.0"	"0.0"	"1.0"	"3.0"
"abarrotar"	"VM"	"0.0"	"1.4122"	"0.0"	"1.826"	"0.0"	"0.9186"	"0.0"	"1.0"	"0.0"	"1.0"	"0.0"	"2.0"
"abasto"	"NCM"	"0.0"	"0.0"	"0.0"	"0.0"	"8.5078"	"0.2103"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"1.0"
"abastos"	"NCM"	"0.0"	"0.0"	"0.0"	"3.4744"	"8.5078"	"1.0564"	"0.0"	"0.0"	"0.0"	"1.0"	"1.0"	"2.0"
"abatir"	"VM"	"0.0"	"0.0"	"0.1533"	"0.0"	"0.0"	"0.015"	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"1.0"
"abdicar"	"VM"	"0.0"	"0.1104"	"0.0"	"0.0"	"0.0"	"0.0063"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"
"abdomen"	"NCM"	"0.0"	"0.0"	"0.9081"	"0.0"	"17.0156"	"1.5991"	"0.0"	"0.0"	"1.0"	"0.0"	"1.0"	"2.0"
"abdominal"	"AQ0"	"5.0445"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0404"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"
"abducir"	"VM"	"0.0"	"0.0"	"0.0"	"0.0"	"9.4714"	"0.2341"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"1.0"
"abeja"	"NCF"	"0.0"	"1.1794"	"0.0"	"5.4781"	"0.0"	"1.5696"	"0.0"	"1.0"	"0.0"	"2.0"	"0.0"	"3.0"
"aberrante"	"AQ0"	"0.0"	"0.0"	"0.0"	"0.0"	"8.5078"	"0.2103"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"1.0"
"abertura"	"NCF"	"0.0"	"11.9045"	"0.0"	"0.0"	"0.0"	"1.6949"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"	"3.0"
