word	tag	level_freq@a1	level_freq@a2	level_freq@b1	level_freq@b2	level_freq@c1	total_freq@total	nb_doc@a1	nb_doc@a2	nb_doc@b1	nb_doc@b2	nb_doc@c1	nb_doc@total	B2_Nya_Mål_3@b2	B2_På_svenska!_3@b2	B2_På_svenska!_3@total	B2_Nya_Mål_3@total	A2_Svenska_Utifrån@a2	A2_Svenska_Utifrån@total	B1_RIVSTART@b1	C1_Språkporten_123@c1	C1_Skrivtrappan@c1	B1_RIVSTART@total	C1_Språkporten_123@total	C1_Skrivtrappan@total	A2_RIVSTART@a2	B1_Svenska_Utifrån@b1	B2_RIVSTART@b2	B1_Svenska_Utifrån@total	A2_RIVSTART@total	B2_RIVSTART@total	A1_Nya_Mål_1@a1	A1_På_svenska!@a1	A1_Svenska_Utifrån@a1	A2_På_svenska!@a2	B1_Nya_Mål_2@b1	B1_På_svenska!_2@b1	B2_Språkporten_BAS@b2	A1_Svenska_Utifrån@total	B1_Nya_Mål_2@total	B2_Språkporten_BAS@total	B1_På_svenska!_2@total	A1_Nya_Mål_1@total	A2_På_svenska!@total	A1_På_svenska!@total	A2_Nya_Mål_1@a2	A2_Nya_Mål_1@total	B1_På_svenska!_3@b1	B1_På_svenska!_3@total	A1_RIVSTART@a1	A1_RIVSTART@total
	KN	0.0	0.0	7.3203	0.0	13.2172	2.8265	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
		5554.4792	7563.1945	3993.9285	6220.0986	5742.0021	5523.4202	30.0	113.0	181.0	292.0	253.0	869.0	408.0	16.0	16.0	408.0	54.0	54.0	105.0	264.0	76.0	105.0	264.0	76.0	96.0	58.0	68.0	58.0	96.0	68.0	4.0	5.0	6.0	19.0	10.0	79.0	56.0	6.0	10.0	56.0	79.0	4.0	19.0	5.0	45.0	45.0	13.0	13.0	42.0	42.0
	NN	62.7359	187.1784	585.9649	118.486	84.3927	234.161	1.0	5.0	16.0	9.0	4.0	35.0	0.0	3.0	3.0	0.0	0.0	0.0	18.0	4.0	1.0	18.0	4.0	1.0	5.0	0.0	6.0	0.0	5.0	6.0	2.0	0.0	0.0	4.0	5.0	22.0	3.0	0.0	5.0	3.0	22.0	2.0	4.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
	NN_UTR	0.0	0.0	0.0	0.0	13.2172	0.8196	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	IN	34.1246	49.315	18.1878	6.1296	0.0	11.9548	1.0	2.0	2.0	1.0	0.0	6.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
a	NN_NEU	34.1246	113.8448	203.8239	326.5114	13.2172	181.661	1.0	2.0	6.0	12.0	1.0	22.0	14.0	0.0	0.0	14.0	7.0	7.0	17.0	1.0	0.0	17.0	1.0	0.0	0.0	5.0	12.0	5.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
a	IN	389.9566	195.1626	53.014	14.9305	26.4344	72.4181	2.0	5.0	2.0	1.0	2.0	12.0	0.0	0.0	0.0	0.0	12.0	12.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	3.0	6.0	3.0	0.0	6.0	0.0	4.0	1.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
a-kassa	NN_UTR	0.0	0.0	5.3395	0.0	0.0	0.3669	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a-människa	NN_UTR	0.0	0.0	0.0	7.2269	0.0	0.8496	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abborre	NN_UTR	0.0	0.0	6.3471	6.1296	0.0	2.671	0.0	0.0	2.0	1.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
