	WORD	CEFR	CLUE
0	abacus	c1	['a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave', 'a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves']
1	abandon	c1	['the trait of lacking restraint or control; reckless freedom from inhibition or worry', 'a feeling of extreme emotional intensity', 'forsake, leave behind', 'give up with the intent of never claiming again', 'leave behind empty; move out of', 'stop maintaining or insisting on; of ideas or claims', 'leave someone who needs or counts on you; leave in the lurch']
2	abduct	b2	['take away to an undisclosed location against their will and usually in order to extract a ransom', 'pull away from the body']
3	ability	b2	['the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment', 'possession of the qualities (especially mental qualities) required to do something or get something done']
4	able	b1	"[""(usually followed by `to') having the necessary means or skill or know-how or authority to do something"", 'have the skills and qualifications to do things well', 'having inherent physical or mental ability or capacity', 'having a strong healthy body']"
5	aboard	b2	['on a ship, train, plane or other vehicle', 'on first or second or third base', 'side by side', 'part of a group']
6	abolish	c1	['do away with']
7	aboriginal	b1	['a dark-skinned member of a race of people living in Australia when Europeans arrived', 'an indigenous person who was born in a particular place', 'of or pertaining to members of the indigenous people of Australia', 'characteristic of or relating to people inhabiting a region from the beginning', 'having existed from the beginning; in an earliest or original stage or state']
8	about	c1	['on the move', '(of quantities) imprecise but fairly close to correct', 'all around or on all sides', 'in the area or vicinity', 'used of movement to or among many different places or in no particular direction', 'in or to a reversed position or direction', 'in rotation or succession', '(of actions or states) slightly short of or not quite accomplished; all but']
9	above	b1	['an earlier section of a written text', 'appearing earlier in the same text', 'at an earlier place', 'in or to a place that is higher']
10	abroad	b1	"['in a foreign country', 'to or in a foreign country', ""far away from home or one's usual surroundings; - R.A.Hall"", 'in a place across an ocean']"
11	abruptly	b2	['quickly and without warning']
12	absence	b2	['the state of being absent', 'failure to be present', 'the time interval during which something or somebody is away', 'the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy']
13	absent	b1	['go away or leave', 'not being in a specified place', 'nonexistent', 'lost in thought; showing preoccupation']
14	absenteeism	b1	['habitual absence from work']
15	absolute	c1	['something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative', 'perfect or complete or pure', 'complete and without restriction or qualification; sometimes used informally as intensifiers', 'not limited by law', 'expressing finality with no implication of possible change', 'not capable of being violated or infringed']
16	absolutely	b2	['completely and without qualification; used informally as intensifiers', 'totally and definitely; without question']
17	absorb	c1	"['become imbued', 'take up mentally', 'take up, as of debts or payments', 'take in, also metaphorically', 'cause to become one with', 'suck or take up or in', 'devote (oneself) fully to', 'assimilate or take in', ""consume all of one's attention or time""]"
18	abstract	b2	['a concept or idea not associated with any specific instance', 'a sketchy summary of the main points of an argument or theory', 'consider a concept without thinking of a specific example; consider abstractly or theoretically', 'make off with belongings of others', 'consider apart from a particular case or instance', 'give an abstract (of)', 'existing only in the mind; separated from embodiment', 'not representing or imitating external reality or the objects of nature', 'dealing with a subject in the abstract without practical purpose or intention']
19	absurd	b2	['a situation in which life seems irrational and meaningless; --Albert Camus', 'inconsistent with reason or logic or common sense; - Walter Lippman', 'incongruous;inviting ridicule']
20	absurdly	b2	['in an absurd manner or to an absurd degree']
21	abundant	c1	['present in great quantity']
22	abuse	c1	['cruel or inhumane treatment', 'a rude expression intended to offend or hurt', 'improper or excessive use', 'treat badly', 'change the inherent purpose or function of something', 'use foul or abusive language towards', 'use wrongly or improperly or excessively']
23	academia	b2	['the academic world']
24	academic	c1	['an educator who works at a college or university', 'associated with academia or an academy', 'hypothetical or theoretical and not expected to produce an immediate or practical result', 'marked by a narrow focus on or display of learning especially its trivial aspects']
25	academically	c1	['in regard to academic matters']
26	accelerate	c1	['move faster', 'cause to move faster']
27	acceleration	c1	['an increase in rate of change', 'the act of accelerating; increasing the speed', '(physics) a rate of increase of velocity']
28	accent	c1	['distinctive manner of oral expression', 'special importance or significance', 'the usage or vocabulary that is characteristic of a specific group of people', 'the relative prominence of a syllable or musical note (especially with regard to stress or pitch)', 'a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation', 'to stress, single out as important', 'put stress on; utter with an accent']
29	accented	c1	['to stress, single out as important', 'put stress on; utter with an accent', 'used of syllables', 'bearing a stress or accent']
