	WORD	CEFR
0	aaagh	a2
1	abacus	c1
2	abandon	c1
3	abduct	b2
4	ability	b2
5	able	b1
6	aboard	b2
7	abolish	c1
8	aboriginal	b1
9	about	c1
10	above	b1
11	abroad	b1
12	abruptly	b2
13	absence	b2
14	absent	b1
15	absenteeism	b1
16	absolute	c1
17	absolutely	b2
18	absorb	c1
19	abstract	b2
20	absurd	b2
21	absurdly	b2
22	abundant	c1
23	abuse	c1
24	academia	b2
25	academic	c1
26	academically	c1
27	accelerate	c1
28	acceleration	c1
29	accent	c1
30	accented	c1
31	accept	b2
32	acceptable	b1
33	acceptance	c1
34	access	b1
35	accessible	b2
36	accident	a2
37	accidental	b1
38	accidentally	b1
39	acclaim	b2
40	acclaimed	c1
41	acclimatise	c1
42	accommodate	c1
43	accommodation	b1
44	accompaniment	c1
45	accompany	c1
46	accomplice	b2
47	accomplish	b1
48	accomplished	b1
49	accomplishment	b2
50	accord	c1
51	accordingly	c1
52	accordion	a2
53	account	c1
54	accountable	b2
55	accountancy	b1
56	accountant	c1
57	accounting	b2
58	accredit	b2
59	accumulate	b1
60	accuracy	c1
61	accurate	c1
62	accurately	b2
63	accuse	b2
64	ace	b2
65	ache	c1
66	achieve	c1
67	achievement	c1
68	acid	a2
69	acidic	c1
70	acknowledge	b2
71	acquaint	b2
72	acquire	b2
73	acre	b1
74	acrobat	b2
75	across	a2
76	act	c1
77	acting	b2
78	action	b2
79	actions	c1
80	activate	c1
81	active	b2
82	activist	c1
83	activity	c1
84	actor	b2
85	actress	a2
86	actual	b2
87	actually	b2
88	ad	c1
89	adapt	c1
90	add	c1
91	addict	a1
92	addictive	b2
93	addition	b2
94	additional	c1
95	additionally	c1
96	additive	b2
97	address	c1
98	adept	b2
99	adequate	c1
100	adhere	c1
101	adhesive	c1
102	adjacent	c1
103	adjective	c1
104	adjust	c1
105	administration	c1
106	administrative	c1
107	admirable	c1
108	admiral	b1
109	admiration	c1
110	admire	b2
111	admirer	b2
112	admiringly	b2
113	admission	a2
114	admit	c1
115	admittance	c1
116	admittedly	c1
117	adolescent	c1
118	adopt	c1
119	adopter	c1
120	adoption	b1
121	adoptive	b1
122	adore	b2
123	adult	b1
124	adulthood	c1
125	advance	b1
126	advanced	c1
127	advancement	c1
128	advantage	b1
129	advantageous	c1
130	advent	c1
131	adventure	b1
132	adventurer	c1
133	adventurous	b2
134	adverb	a2
135	adversely	b2
136	adversity	b2
137	advert	b1
138	advertise	b1
139	advertisement	b2
140	advertiser	c1
141	advertising	b2
142	advertize	c1
143	advice	b1
144	advisable	c1
145	advise	b1
146	advisor	b2
147	advocacy	c1
148	advocate	c1
149	aerobics	a1
150	aeroplane	a2
151	aesthetic	c1
152	affair	b2
153	affect	b2
154	affection	b1
155	affectionate	b2
156	affectionately	b2
157	affiliate	b1
158	afford	b2
159	affordable	b1
160	afraid	a2
161	african	a2
162	after	b1
163	afterlife	a2
164	afternoon	a1
165	aftershock	b1
166	afterward	c1
167	afterwards	b2
168	again	a2
169	against	c1
170	age	c1
171	aged	b2
172	agency	b1
173	agenda	b2
174	agent	b2
175	aggravation	b2
176	aggression	b1
177	aggressive	b1
178	aggressively	c1
179	agile	b2
180	agility	b2
181	agitated	a1
182	ago	b1
183	agrarian	c1
184	agree	b2
185	agreeable	c1
186	agreement	b2
187	agricultural	c1
188	agriculture	c1
189	ah	a2
190	ahead	c1
191	ahold	a2
192	aid	b2
193	aids	b2
194	ail	c1
195	aim	c1
196	aimlessly	c1
197	air	c1
198	airbag	c1
199	airbrush	c1
200	aircraft	c1
201	aircrew	b2
202	airless	c1
203	airline	b2
204	airmail	b2
205	airplane	c1
206	airport	b1
207	airshow	a2
208	airstrip	c1
209	airtime	c1
210	airy	b1
211	aisle	b2
212	akin	b2
213	alarm	c1
214	alarmed	c1
215	alarming	c1
216	alas	c1
217	album	b2
218	alcohol	c1
219	alert	c1
220	alfresco	b1
221	algebra	b1
222	algerian	c1
223	algorithm	c1
224	alibi	b2
225	alien	b2
226	alienate	c1
227	align	c1
228	alike	a2
229	alive	c1
230	all	c1
231	allay	c1
232	allege	c1
233	allegedly	c1
234	allergic	a2
235	allergy	b2
236	alleviate	c1
237	alley	c1
238	alliance	c1
239	allocate	b2
240	allocation	c1
241	allotment	c1
242	allow	c1
243	allowance	b1
244	ally	b2
245	almond	b2
246	almost	c1
247	alone	c1
248	along	c1
249	alongside	c1
250	aloofness	b1
251	aloud	b2
252	alpha	c1
253	alphabet	a2
254	alphabetize	a2
255	already	b2
256	alright	a1
257	also	b1
258	alter	c1
259	alternate	b2
260	alternative	c1
261	alternatively	b2
262	although	b2
263	altitude	a2
264	altogether	c1
265	aluminium	b2
266	always	b1
267	amateur	b2
268	amateurish	c1
269	amaze	c1
270	amazed	b2
271	amazement	c1
272	amazing	b1
273	amazingly	b1
274	ambiance	c1
275	ambiguity	b1
276	ambition	c1
277	ambitious	b2
278	ambulance	c1
279	american	b2
280	amid	b2
281	ammonia	c1
282	among	c1
283	amongst	c1
284	amount	b2
285	amphibian	a2
286	amphitheatre	a1
287	ample	b2
288	amuse	b2
289	amused	b2
290	amusement	c1
291	amusing	c1
292	an	c1
293	analyse	c1
294	analysis	b2
295	analyst	c1
296	analytical	c1
297	analyze	c1
298	anarchy	c1
299	ancestor	c1
300	anchor	c1
301	ancient	c1
302	and	a2
303	andalusian	c1
304	android	b2
305	anecdote	c1
306	anew	c1
307	anger	c1
308	angle	c1
309	angrier	c1
310	angrily	a2
311	angry	a1
312	animal	a2
313	animate	b1
314	anion	c1
315	ankh	a2
316	ankle	c1
317	anniversary	b1
318	announce	c1
319	announcement	c1
320	announcer	c1
321	annoy	b2
322	annoyance	b2
323	annoyed	b1
324	annoying	b2
325	annual	b2
326	annually	b2
327	anodyne	c1
328	anonymous	b2
329	another	b2
330	answer	a2
331	antagonism	c1
332	antarctica	b1
333	antennae	b1
334	anthology	c1
335	anthropologist	c1
336	anthropology	b2
337	antibiotic	c1
338	anticipate	b2
339	antique	c1
340	antiquity	a2
341	antisocial	b1
342	antivirus	b1
343	anxiety	c1
344	anxious	b1
345	anxiously	c1
346	any	b1
347	anybody	a2
348	anyhow	c1
349	anymore	b1
350	anyone	b1
351	anyplace	c1
352	anything	a2
353	anytime	b2
354	anyway	b2
355	anywhere	b2
356	apart	c1
357	apartment	b1
358	apathetic	c1
359	apathy	c1
360	ape	a2
361	aperitif	b1
362	apocalypse	b1
363	apocalyptic	b1
364	apologetically	b2
365	apologise	b2
366	apologize	b1
367	apologizing	b1
368	apology	b1
369	apostrophe	a2
370	app	b1
371	appal	b2
372	apparatus	c1
373	apparent	c1
374	apparently	b2
375	appeal	c1
376	appealing	c1
377	appear	b2
378	appearance	b2
379	appetite	c1
