	WORD	CEFR
0	abaisser	a1
1	abandon	c1
2	abandonner	b1
3	abasourdir	b2
4	abattage	c1
5	abattoir	c1
6	abattre	c1
7	abbaye	b1
8	abbé	b1
9	abeille	c1
10	aberration	c1
11	aboiement	b1
12	abolir	c1
13	abolition	c1
14	abomination	c1
15	abondamment	c1
16	abondance	b1
17	abondant	c1
18	abonder	b2
19	abonnement	a2
20	abonner	c1
21	abonné	c1
22	abord	c1
23	abordable	c1
24	aborder	c1
25	aborigène	a2
26	aboutir	c1
27	aboyer	b1
28	abreuver	a2
29	abri	b1
30	abricot	a1
31	abriter	a2
32	abroger	c1
33	abruti	b2
34	abrutir	b1
35	abréger	b2
36	absence	c1
37	absent	c1
38	absenter	b2
39	absentéisme	b1
40	absolu	c1
41	absolument	a2
42	absorber	c1
43	absorption	c1
44	absoudre	b1
45	abstenir	c1
46	abstention	b1
47	abstraire	c1
48	absurde	b2
49	abus	c1
50	abuser	c1
51	abusif	c1
52	abyme	a2
53	abyssal	c1
54	abîme	c1
55	abîmer	b2
56	académicien	c1
57	académie	b1
58	académique	b2
59	académisme	c1
60	accablant	b2
61	accabler	b1
62	accaparer	b2
63	accent	a1
64	accentuer	c1
65	acceptable	c1
66	acceptation	c1
67	accepter	b1
68	acception	c1
69	accessible	c1
70	accession	b1
71	accessoire	b1
72	accident	a1
73	accidentel	c1
74	accidenter	c1
75	acclamation	b1
76	acclamer	b1
77	acclimater	b1
78	accolade	a2
79	accoler	b2
80	accommoder	c1
81	accompagnement	c1
82	accompagner	a1
83	accomplir	b1
84	accomplissement	c1
85	accord	c1
86	accorder	c1
87	accordéon	b2
88	accoter	b1
89	accouchement	c1
90	accoucher	b1
91	accouder	b1
92	accourir	b2
93	accroc	b2
94	accrochage	b2
95	accroche	a2
96	accrocher	b1
97	accroire	b1
98	accroissement	b1
99	accroître	c1
100	accrue	c1
101	accréditer	c1
102	accueil	a1
103	accueillant	a1
104	accueillir	a1
105	accumulation	b2
106	accumuler	b1
107	accusateur	b1
108	accusation	b1
109	accuser	b2
110	accusé	b2
111	accès	c1
112	accéder	c1
113	accélérateur	c1
114	accélération	c1
115	accélérer	c1
116	accéléré	c1
117	acerbe	b2
118	acharnement	b2
119	acharner	b2
120	achat	c1
121	acheminement	b1
122	acheminer	c1
123	acheter	a1
124	acheteur	b1
125	achever	b2
126	achoppement	c1
127	acide	b1
128	acier	c1
129	acompte	c1
130	acoustique	c1
131	acquisition	c1
132	acquitter	c1
133	acquéreur	c1
134	acquérir	c1
135	acrobatie	b1
136	acrobatique	b1
137	acte	c1
138	acteur	c1
139	actif	c1
140	action	c1
141	actionnaire	c1
142	actionner	b1
143	activement	c1
144	activer	b1
145	activité	c1
146	actualiser	b2
147	actualité	c1
148	actuel	c1
149	actuellement	c1
150	ad	b2
151	adage	c1
152	adaptable	a2
153	adaptation	a2
154	adapter	c1
155	additif	c1
156	addition	c1
157	adduction	b2
158	adepte	c1
159	adhérent	b1
160	adhérer	b1
161	adhésif	c1
162	adhésion	c1
163	adieu	b1
164	adjoindre	c1
165	adjoint	b1
166	adjudant	b1
167	adjuger	b1
168	adjurer	c1
169	adjuvant	b1
170	admettre	b1
171	administrateur	b2
172	administratif	b1
173	administration	c1
174	administrer	c1
175	admirable	a1
176	admirablement	b1
177	admirateur	b1
178	admiratif	c1
179	admiration	b2
180	admirer	a1
181	admission	b1
182	ado	a1
183	adolescence	b1
184	adolescent	c1
185	adonner	c1
186	adopter	c1
187	adoptif	a2
188	adoption	c1
189	adorable	a1
190	adorateur	b1
191	adoration	b1
192	adorer	a1
193	adosser	c1
194	adoubement	a1
195	adoucir	b1
196	adresse	a1
197	adresser	b1
198	adroit	a2
199	adroitement	a2
200	aduler	b1
201	adulte	b1
202	adultère	c1
203	adultérer	c1
204	advenir	b2
205	adversaire	c1
206	adversité	b1
207	adéquat	b1
208	affadissement	c1
209	affaiblir	b1
210	affaire	b2
211	affairer	b2
212	affaler	a2
213	affamer	b2
214	affamé	b1
215	affectation	c1
216	affecter	c1
217	affectif	b1
218	affection	b1
219	affectionner	b2
220	affectivement	b2
221	affectivité	b1
222	affectueusement	a2
223	affectueux	b1
224	affichage	c1
225	affiche	c1
226	afficher	c1
227	affilier	b1
228	affilée	b1
229	affiner	c1
230	affinité	b1
231	affirmatif	b1
232	affirmation	b2
233	affirmative	b1
234	affirmer	c1
235	affleurer	b2
236	affligeant	c1
237	affliger	b2
238	affluence	b1
239	affluent	a2
240	afflux	b1
241	affolant	c1
242	affolement	b1
243	affoler	b1
244	affranchi	a2
245	affranchir	c1
246	affreusement	b1
247	affreux	a2
248	affront	b1
249	affrontement	b1
250	affronter	b1
251	affubler	b2
252	affût	b1
253	aficionado	b1
254	afin	c1
255	africain	c1
256	agacement	c1
257	agacer	b2
258	agaçant	a1
259	agence	a1
260	agenda	b1
261	agent	b2
262	aggiornamento	c1
263	agglomération	c1
264	agglutiner	b2
265	aggravation	c1
