	WORD	CEFR	CLUE
0	abad	b1	['the superior of an abbey of monks']
1	abajo	c1	['under that']
2	abandonar	c1	"['prevent completion', 'stop pursuing or acting', 'leave unchanged', 'lay aside, abandon, or leave for another', 'stop maintaining or insisting on; of ideas or claims', 'go and leave behind, either intentionally or by neglect or forgetfulness', 'leave someone who needs or counts on you; leave in the lurch', 'cast off', 'turn away from and put aside, perhaps temporarily', 'give up in the face of defeat of lacking hope; admit defeat', 'retreat', 'stop consuming', 'disappoint, prove undependable to; abandon, forsake', 'leave behind empty; move out of', 'throw away, of something encumbering', 'give up with the intent of never claiming again', 'forsake, leave behind', ""leave or give by will after one's death"", 'remove oneself from an association with or participation in', 'fail to do something; leave something undone', 'interrupt a continued activity', 'desert (a cause, a country or an army), often in order to join the opposing cause, country, or army']"
3	abandono	c1	['withdrawing support or help despite allegiance or responsibility', 'the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away', 'the act of giving something up', 'the act of forsaking', 'the act of giving up and abandoning a struggle or task etc.', 'willful negligence', 'habitual uncleanliness', 'sadness resulting from being forsaken or abandoned']
4	abanico	c1	['a device for creating a current of air by movement of a surface or surfaces']
5	abarcar	c1	['bring about; accomplish', 'to cover or extend over an area or time period; ,']
6	abasto	c1	['the activity of supplying or providing something', 'a store or supply of something (especially of food or clothing or arms)']
7	abatir	b1	"['bring down or defeat (an opponent)', 'strike down or shoot down', 'lower in grade or rank or force somebody into an undignified situation', ""lower someone's spirits; make downhearted"", 'take away the enthusiasm of', 'fall down, as if collapsing']"
8	abdicar	a2	['surrender (power or a position)']
9	abdomen	c1	['the womb']
10	abdominal	a1	['of or relating to or near the abdomen']
11	abducir	c1	['take away to an undisclosed location against their will and usually in order to extract a ransom']
12	abeja	b2	['any of numerous hairy-bodied insects including social and solitary species', 'an alert and energetic person']
13	abertura	a2	['the act of rending or ripping or splitting something', 'a device that controls amount of light admitted', 'a vacant or unobstructed space that is man-made', 'an aperture or hole that opens into a bodily cavity', 'the initial part of the introduction', 'an open or empty space in or between things']
14	abeto	b1	['true firs', 'any coniferous tree of the genus Picea']
