	WORD	CEFR
0	aaaahhhhh	b1
1	abad	b1
2	abadía	b1
3	abajo	c1
4	abandonar	c1
5	abandono	c1
6	abanicar	b2
7	abanico	c1
8	abaratar	c1
9	abarcar	c1
10	abarrotar	b2
11	abasto	c1
12	abastos	c1
13	abatir	b1
14	abdicar	a2
15	abdomen	c1
16	abdominal	a1
17	abducir	c1
18	abeja	b2
19	aberrante	c1
20	abertura	a2
21	abeto	b1
22	abierto	b1
23	abismo	c1
24	ablandador	b1
25	ablandar	b1
26	abnegación	c1
27	abocar	b2
28	abogado	b2
29	abogar	b1
30	abolición	a2
31	abolir	a2
32	abonar	c1
33	abono	b2
34	abordar	c1
35	aborigen	b1
36	aborrecer	c1
37	aborto	c1
38	abrasar	b2
39	abrazar	a2
40	abrazo	a1
41	abrebotellas	c1
42	abreviación	a1
43	abreviar	c1
44	abreviatura	a1
45	abridor	c1
46	abrigo	b1
47	abrir	a2
48	abro	a2
49	abrochar	b1
50	abrumar	c1
51	absentismo	c1
52	absolutista	a2
53	absoluto	c1
54	absolver	c1
55	absorbente	b1
56	absorber	c1
57	absorción	b2
58	abstemio	c1
59	abstención	c1
60	abstracción	b2
61	abstracto	c1
62	absurdo	b2
63	abuela	b1
64	abuelo	a1
65	abultar	c1
66	abundancia	b1
67	abundante	c1
68	abundar	b2
69	aburrar	a1
70	aburrimiento	b2
71	aburrir	b2
72	abusar	b2
73	abuso	c1
74	acabado	a2
75	acabar	b2
76	academia	a2
77	academicismo	b2
78	académico	c1
79	acaecer	b1
80	acallar	c1
81	acampada	b1
82	acampar	b1
83	acant	a1
84	acantilado	b2
85	acanto	a2
86	acaparar	b1
87	acariciar	c1
88	acarrear	c1
89	acaso	c1
90	acceder	c1
91	accesibilidad	c1
92	accesible	b2
93	acceso	c1
94	accesorio	a1
95	accidentado	b2
96	accidentar	b2
97	accidente	c1
98	accionar	b2
99	accionista	b2
100	acción	c1
101	ace	b1
102	aceite	c1
103	aceituna	a2
104	aceitunero	b1
105	aceituno	c1
106	acelerar	c1
107	acelga	b1
108	acento	c1
109	acentuar	c1
110	aceptable	c1
111	aceptación	c1
112	aceptar	b2
113	acepto	b1
114	acera	c1
115	acercamiento	c1
116	acercar	b1
117	acero	c1
118	acertar	b2
119	acetato	b2
120	achacable	c1
121	achacar	c1
122	acierto	b2
123	aclaración	b2
124	aclarar	b1
125	aclimatación	a1
126	aclimatar	a2
127	acné	b2
128	acogedor	b2
129	acoger	b2
130	acogida	b2
131	acomodar	c1
132	acompañamiento	b2
133	acompañante	b2
134	acompañar	b1
135	acomplejar	c1
136	acondicionamiento	b2
137	acondicionar	a2
138	aconsejable	b2
139	aconsejar	b2
140	acontecer	c1
141	acontecimiento	c1
142	acopiar	b2
143	acoplar	b2
144	acorazado	b2
145	acordar	b2
146	acorde	c1
147	acordeón	b1
148	acortamiento	a2
149	acortar	c1
150	acosar	b2
151	acoso	b2
152	acostar	a1
153	acostumbrar	b2
154	acreditación	b2
155	acreditar	c1
156	acrónimo	b2
157	acta	b2
158	actitud	b2
159	activar	a2
160	actividad	b2
161	activista	c1
162	activo	b1
163	acto	c1
164	actor	b1
165	actriz	a2
166	actuación	b2
167	actual	c1
168	actualidad	a1
169	actualización	b2
170	actualizar	b1
171	actuar	b2
172	acuarela	c1
173	acuario	a2
174	acuarium	a1
175	acuartelamiento	c1
176	acuchillar	c1
177	acudir	b2
178	acueducto	a1
179	acuerdo	c1
180	acumulación	b2
181	acumular	c1
182	acupuntor	b2
183	acupuntura	b2
184	acurrucar	b2
185	acusación	c1
186	acusado	c1
187	acusar	c1
188	acuático	b1
189	acuñar	c1
190	acá	a1
191	acústico	b2
192	adaptable	b2
193	adaptación	b1
194	adaptar	b2
195	adaptativo	c1
196	addición	a2
197	adecentar	b1
198	adecuación	c1
199	adecuado	b2
200	adecuar	c1
201	adefesio	b2
202	adelantado	b1
203	adelantamiento	c1
204	adelantar	b2
205	adelante	b2
206	adelgazamiento	c1
207	adelgazante	a2
208	adelgazar	a2
209	además	a1
210	adentrar	b1
211	adentro	c1
212	adepto	b2
213	aderezar	c1
214	adherente	b1
215	adherir	c1
216	adhesión	b2
217	adicción	b2
218	adicional	c1
219	adicto	b2
220	adiestrar	c1
221	adinerar	b2
222	adiosito	b1
223	adiposo	b2
224	adir	b2
225	adivinar	a2
226	adiós	a1
227	adjetivo	a2
228	adjudicación	c1
229	adjudicar	b2
230	adjuntar	b2
231	adjunto	c1
232	administración	b2
233	administrador	b2
234	administrar	c1
235	administrativo	b2
236	admirable	c1
237	admiración	b2
238	admirador	b1
239	admirar	b2
240	admirativo	b1
241	admisión	c1
242	admitir	b2
243	adn	b1
244	adobar	a1
245	adobe	c1
246	adolescencia	b2
247	adolescente	b2
248	adonde	a2
249	adopción	b1
250	adoptar	c1
251	adoptivo	b1
252	adoquinar	a2
253	adoquín	c1
254	adorar	a2
255	adornar	c1
256	adorno	c1
257	adosar	a2
258	adquirir	c1
259	adquisición	c1
260	adquisitivo	b2
261	adrede	b2
262	adrenalina	b2
263	adscribir	b2
264	adsl	a2
265	aduana	b1
266	aduanero	b2
267	adueñar	c1
268	adulador	c1
269	adular	c1
270	adulto	c1
271	adverbio	b1
272	adverso	c1
273	advertencia	c1
274	advertir	b2
275	adyacente	c1
276	aec	c1
277	aerolínea	c1
278	aeronave	b2
279	aeronáutico	b2
280	aeropuerto	a1
281	aerosol	b2
282	aeróbic	a1
283	aeróbico	a2
284	afanar	c1
285	afectado	b2
286	afectar	b2
287	afectivo	a2
288	afecto	b2
289	afectuoso	b1
290	afeitado	c1
291	afeitar	a2
292	aferrar	c1
293	afianzar	a2
294	aficionado	b2
295	aficionar	a1
296	afición	a2
297	afiebrar	c1
298	afilador	b2
299	afilar	c1
300	afiliación	b2
301	afiliar	b2
302	afinar	c1
303	afincar	c1
304	afirmación	c1
305	afirmar	b2
306	afirmativo	a1
307	aflorar	c1
308	afluencia	b2
309	aforo	b2
310	afortunado	b2
311	afrentar	c1
312	africano	a2
313	afroamericano	b2
314	afrocubano	a2
315	afrodisíaco	b1
316	afrontar	b2
317	afuera	b1
318	afueras	a2
319	afán	c1
320	afín	c1
321	agachar	a2
322	agarrar	a2
323	agencia	a1
324	agenda	a2
325	agente	c1
326	agigantar	b2
327	agilidad	b2
328	agitación	b1
329	agitar	b1
330	aglomeración	c1
331	aglomerar	b2
332	agobiante	b2
333	agobiar	c1
334	agobio	b2
335	agonizar	b1
336	agora	a1
337	agorero	c1
338	agotamiento	c1
339	agotar	c1
340	agradable	a2
341	agradar	b2
342	agradecer	c1
343	agradecimiento	b2
344	agrado	c1
345	agrandar	c1
346	agrario	b2
347	agravante	c1
348	agravar	c1
349	agredir	c1
350	agregar	c1
351	agresividad	c1
352	agresivo	b2
353	agresión	c1
354	agresor	c1
355	agricultor	b2
356	agricultora	a1
357	agricultura	a2
358	agridulce	b1
359	agrio	c1
360	agronomía	b2
