	WORD	CEFR	CLUE
0	aber	b2	['a drawback or difficulty that is not readily evident']
1	absolut	c1	['perfect or complete or pure']
2	absorbera	b2	['suck or take up or in']
3	acceptabel	c1	['worthy of acceptance or satisfactory']
4	acceptera	b1	['tolerate or accommodate oneself to']
5	action	b2	['the series of events that form a plot']
6	addition	a1	['the arithmetic operation of summing; calculating the sum of two or more numbers']
7	administrativ	c1	['of or relating to or responsible for administration']
8	adoptera	c1	"[""take into one's family""]"
9	adoption	c1	['a legal proceeding that creates a parent-child relation between persons not related by blood; the adopted child is entitled to all privileges belonging to a natural child of the adoptive parents (including the right to inherit)']
10	adrenalin	b1	['a catecholamine secreted by the adrenal medulla in response to stress (trade name Adrenalin); stimulates autonomic nerve action']
11	adress	a1	['the place where a person or organization can be found or communicated with']
12	advokat	a1	['a professional person authorized to practice law; conducts lawsuits or gives legal advice']
13	affär	b1	['a place of business for retailing goods', 'an agreement between parties (usually arrived at after discussion) fixing obligations of each', 'a usually secretive or illicit sexual relationship']
14	affärsman	c1	['a person engaged in commercial or industrial business (especially an owner or executive)']
15	agent	a1	['a representative who acts on behalf of other persons or organizations', 'any agent or representative of a federal agency or bureau']
16	aggression	c1	['violent action that is hostile and usually unprovoked']
17	aggressiv	c1	['having or showing determination and energetic pursuit of your ends']
18	akademi	b2	['a learned establishment for the advancement of knowledge']
19	akademisk	c1	['associated with academia or an academy']
20	aktie	b1	['any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate']
21	aktieägare	b1	['someone who holds shares of stock in a corporation']
22	aktiv	b1	['characterized by energetic activity']
23	aktivera	b1	['make active or more active']
24	aktivitet	b2	['the trait of being active; moving or acting rapidly and energetically']
25	aktualitet	b2	['the attribute of being of interest at the present time']
26	aktuell	b1	['occurring in or belonging to the present time', 'of or relating to or arranged by topics']
27	akut	b1	['having or experiencing a rapid onset and short but severe course']
28	akvarium	b1	['a tank or pool or bowl filled with water for keeping live fish and underwater animals']
29	album	b1	['a book of blank pages with pockets or envelopes; for organizing photographs or stamp collections etc', 'one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc']
30	alg	a2	['primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves']
31	alkohol	b1	['a liquor or brew containing alcohol as the active agent']
32	alkoholist	b1	['a person who drinks alcohol to excess habitually']
33	allmän	b1	['belonging to or participated in by a community as a whole; public', 'applying to all or most members of a category or group']
34	allmänhet	b2	['a body of people sharing some common interest']
