	WORD	CEFR
0	abborre	b1
1	abdikation	b1
2	abdikera	b1
3	aber	b2
4	abonnemang	a1
5	abrakadabra	b2
6	abrupt	b2
7	absolut	c1
8	absorbera	b2
9	abstraktionsnivå	c1
10	absurd	c1
11	acceptabel	c1
12	acceptera	b1
13	ack	b1
14	action	b2
15	actionfilm	a1
16	addition	a1
17	adekvat	c1
18	adel	c1
19	adelsfamilj	b1
20	adelsman	b1
21	adjektiv	b2
22	adjö	a2
23	adla	b2
24	administration	b1
25	administrativ	c1
26	administratör	c1
27	adoptera	c1
28	adoption	c1
29	adoptionslag	c1
30	adoptivförälder	c1
31	adrenalin	b1
32	adress	a1
33	adressbok	c1
34	adressera	b2
35	advent	b2
36	adventskalender	b2
37	adventsljusstake	a2
38	adverb	c1
39	advokat	a1
40	advokatbyrå	a2
41	advokatson	b1
42	aerobics	b1
43	affisch	a2
44	affär	b1
45	affärsbrev	b2
46	affärsfilosofi	b1
47	affärsidé	c1
48	affärskollega	b2
49	affärskultur	b2
50	affärskvinna	b2
51	affärsliv	b2
52	affärsman	c1
53	affärsmöte	c1
54	affärsvän	c1
55	afrikan	c1
56	afrikansk	c1
57	afton	a1
58	aftonbön	b2
59	ag	b1
60	aga	b2
61	agent	a1
62	agentkontor	b2
63	agera	b1
64	aggression	c1
65	aggressiv	c1
66	aggressivitet	c1
67	ah	a1
68	aha	b1
69	aj	b2
70	aja	b1
71	akademi	b2
72	akademiker	c1
73	akademisk	c1
74	akrobatisk	a1
75	aktie	b1
76	aktiebolag	a2
77	aktiefond	b1
78	aktieförsäljning	b1
79	aktieklipp	b2
80	aktiespekulation	b1
81	aktieägare	b1
82	aktig	b2
83	aktiv	b1
84	aktivera	b1
85	aktivitet	b2
86	aktivitetsbidrag	b2
87	aktualitet	b2
88	aktuell	b1
89	akupunktör	b1
90	akut	b1
91	akvarell	b1
92	akvariefisk	b1
93	akvarium	b1
94	al	c1
95	alan	c1
96	album	b1
97	aldrig	c1
98	alfabet	b2
99	alfabetisk	b2
100	alg	a2
101	alias	b1
102	alkohol	b1
103	alkoholfri	a2
104	alkoholhalt	b1
105	alkoholism	b2
106	alkoholist	b1
107	alkoholkonsumtion	c1
108	alkoholproblem	c1
109	alkoholvana	b2
110	alkolås	c1
111	all	b2
112	alldeles	b2
113	allemansrätt	a1
114	allen	a2
115	allena	c1
116	allergichock	b1
117	allergisk	b1
118	allhelgonadag	b2
119	allhelgonahelg	b2
120	allians	b1
121	allihop	c1
122	allihopa	c1
123	allmän	b1
124	allmänhet	b2
125	allmänmänsklig	c1
126	allomfattande	c1
127	allra	c1
128	alls	c1
129	allsköns	b2
130	allt	b1
131	alltför	c1
132	alltid	c1
133	alltihop	b1
134	allting	a2
135	alltjämt	b2
136	alltmer	c1
137	alltsammans	b2
138	alltsedan	b2
139	alltså	c1
140	allvar	c1
141	allvarlig	b1
142	allvarsam	b2
143	allätare	b1
144	allé	c1
145	alm	b2
146	almstrid	b2
147	alp	b2
148	alpin	b1
149	altaisk	b2
150	altan	b1
151	altare	c1
152	alternativ	b1
153	aluminiumburk	b1
154	amatör	b2
155	amatörteater	c1
156	amazon	b1
157	ambassad	a2
158	ambassadör	b2
159	ambition	c1
160	ambitiös	c1
161	ambivalens	c1
162	ambulans	a1
163	amerikabiljett	b2
164	amerikabrev	b2
165	amerikaemigrant	b1
166	amerikan	c1
167	amerikansk	c1
168	amiral	b2
169	amma	c1
170	ammunition	c1
171	amortering	b1
172	ana	c1
173	anabol	b1
174	analfabet	b2
175	analys	c1
176	analysera	c1
177	analytisk	c1
178	anamma	c1
179	anapest	c1
180	anatomi	a2
181	and	b1
182	anda	b2
183	andas	b1
184	ande	c1
185	andel	b2
186	andelslägenhet	b1
187	andetag	c1
188	andfådd	b1
189	andlig	c1
190	andning	b1
191	andra	c1
192	andrageneration	c1
193	andrahandskontrakt	a2
194	andraspråk	c1
195	anfalla	b1
196	anfallsspelare	b2
197	anföra	c1
198	anföring	b2
199	anföringstecken	b2
200	anförtro	b1
201	ange	b2
202	angelägen	c1
203	angelägenhet	c1
204	angivelse	c1
205	anglosachsisk	b2
206	anglosaxisk	c1
207	angripa	b2
208	angränsa	c1
209	angå	b1
210	angående	b1
211	angöra	b2
212	anhängare	a2
213	anhålla	c1
214	anhörig	c1
215	animation	c1
216	aning	c1
217	anka	b1
218	ankarsmedja	c1
219	ankdamm	c1
220	anklaga	b2
221	anklagelse	c1
222	anknyta	c1
223	anknytning	b2
224	ankomst	c1
225	ankra	c1
226	anledning	c1
227	anlita	b1
228	anlägga	c1
229	anlända	c1
230	anmäla	b2
231	anmälare	c1
232	anmälningsavgift	b2
233	anmärkning	c1
234	anmärkningsvärd	c1
235	annan	c1
236	annandag	b1
237	annanstans	c1
238	annars	b1
239	annex	b2
240	annons	a2
241	annonsera	b1
242	annonsör	b2
243	annorlunda	c1
244	anonym	c1
245	anonymitet	c1
246	anordna	b1
247	anordning	c1
248	anpassa	c1
249	anpassning	c1
250	anpassningsfas	b1
251	anpassningsförmåga	c1
252	anse	c1
253	anseende	b2
254	ansenlig	c1
255	ansikte	c1
256	ansiktsförlamning	b2
257	ansiktslyftning	b2
258	ansiktsuttryck	c1
259	ansjovis	b2
260	anslag	b2
261	anslagstavla	b1
262	ansluta	c1
263	anspelning	c1
264	anspråk	b2
265	anspråkslös	c1
266	anstalt	c1
267	anstränga	b2
268	ansträngning	b2
269	anställa	b2
270	anställd	b2
271	anställning	b1
272	anställningsintervju	c1
273	anställningstid	b1
274	anstöt	c1
275	ansvar	c1
276	ansvara	b2
277	ansvarskänsla	b2
278	ansvarstagande	b2
279	ansöka	a2
280	ansökan	c1
281	ansökning	c1
282	ansökningsbrev	b2
283	ansökningsformulär	c1
284	ansökningsskrivande	c1
285	anta	c1
286	antabus	c1
287	antagligen	c1
288	antal	c1
289	anteckna	c1
290	anteckning	c1
291	anteckningsbok	a2
292	antibiotikum	b1
293	antik	b1
294	antikvariat	b2
295	antikvarisk	b2
296	antingen	c1
297	antropolog	c1
298	antyda	c1
299	antydning	b2
300	anvisning	c1
301	använda	c1
302	användare	c1
303	användbar	c1
304	användning	c1
305	apa	b1
306	apache	b2
307	apelsin	a1
308	apelsinjuice	b2
309	apelsinträd	b1
310	apostel	c1
311	apotek	a1
312	apotekare	b1
313	app	c1
314	apparat	b2
315	apparatur	b1
316	applikation	c1
317	applåd	b1
318	applådera	c1
319	approach	c1
320	april	b1
321	aprilhäxa	a2
322	aprilskämt	b1
323	apropå	a2
324	aptit	b1
325	aptitretande	c1
326	ar	b1
327	arab	b2
328	arabisk	c1
329	arabiska	c1
330	arbeta	a1
331	arbetarbarn	a2
332	arbetare	a2
